skenario,kode_kab_kota,kabupaten_kota_normalized,provinsi_normalized,priority_score,rank,in_top10
Fokus kerentanan,3510,Banyuwangi,Jawa Timur,20.553587817668664,300,False
Fokus kerentanan,3511,Bondowoso,Jawa Timur,17.30907330229822,348,False
Fokus kerentanan,3512,Situbondo,Jawa Timur,16.761766038885494,352,False
Fokus kerentanan,3514,Pasuruan,Jawa Timur,30.45005049114053,141,False
Fokus kerentanan,3516,Mojokerto,Jawa Timur,18.207139557167242,335,False
Fokus kerentanan,3517,Jombang,Jawa Timur,22.681731592139894,266,False
Fokus kerentanan,3518,Nganjuk,Jawa Timur,27.039282044438767,195,False
Fokus kerentanan,3519,Madiun,Jawa Timur,14.86742274206095,375,False
Fokus kerentanan,3520,Magetan,Jawa Timur,13.357858127045132,390,False
Fokus kerentanan,3521,Ngawi,Jawa Timur,18.27593884562848,334,False
Fokus kerentanan,3522,Bojonegoro,Jawa Timur,17.353114239099362,346,False
Fokus kerentanan,3523,Tuban,Jawa Timur,18.67390462845521,327,False
Fokus kerentanan,3524,Lamongan,Jawa Timur,13.5376007094701,386,False
Fokus kerentanan,3525,Gresik,Jawa Timur,18.57304742076095,328,False
Fokus kerentanan,3526,Bangkalan,Jawa Timur,32.46381969173716,105,False
Fokus kerentanan,3527,Sampang,Jawa Timur,32.072450641001154,114,False
Fokus kerentanan,3529,Sumenep,Jawa Timur,22.976686907631382,263,False
Fokus kerentanan,3571,Kediri,Jawa Timur,23.27415744534685,259,False
Fokus kerentanan,3572,Blitar,Jawa Timur,14.249613791916051,379,False
Fokus kerentanan,3573,Malang,Jawa Timur,24.467784040947073,240,False
Fokus kerentanan,3575,Pasuruan,Jawa Timur,20.276621155133803,303,False
Fokus kerentanan,3577,Madiun,Jawa Timur,9.69037285525392,403,False
Fokus kerentanan,3579,Batu,Jawa Timur,25.86025498981061,217,False
Fokus kerentanan,3601,Pandeglang,Banten,33.64545515652405,90,False
Fokus kerentanan,3602,Lebak,Banten,38.287666750526725,63,False
Fokus kerentanan,3603,Tangerang,Banten,32.20945771743211,110,False
Fokus kerentanan,3604,Serang,Banten,22.358177892686715,272,False
Fokus kerentanan,3671,Tangerang,Banten,14.750183769118717,377,False
Fokus kerentanan,3672,Cilegon,Banten,18.90661135857214,320,False
Fokus kerentanan,3674,Tangerang Selatan,Banten,23.39057420501658,257,False
Fokus kerentanan,5101,Jembrana,Bali,6.560570923760136,405,False
Fokus kerentanan,5102,Tabanan,Bali,6.494741766847271,406,False
Fokus kerentanan,5103,Badung,Bali,3.6551095836368566,408,False
Fokus kerentanan,5104,Gianyar,Bali,3.3507279784984356,409,False
Fokus kerentanan,5105,Klungkung,Bali,5.220537941073584,407,False
Fokus kerentanan,5106,Bangli,Bali,9.948148796723295,402,False
Fokus kerentanan,5107,Karangasem,Bali,14.248276114567751,380,False
Fokus kerentanan,5108,Buleleng,Bali,16.91657432325599,350,False
Fokus kerentanan,5203,Lombok Timur,Nusa Tenggara Barat,41.9481937979142,38,False
Fokus kerentanan,5204,Sumbawa,Nusa Tenggara Barat,34.022339099859835,88,False
Fokus kerentanan,5205,Dompu,Nusa Tenggara Barat,23.59356432226206,255,False
Fokus kerentanan,5208,Lombok Utara,Nusa Tenggara Barat,49.67412993247772,13,False
Fokus kerentanan,5271,Mataram,Nusa Tenggara Barat,27.71929473818874,179,False
Fokus kerentanan,5272,Bima,Nusa Tenggara Barat,31.2336430174729,129,False
Fokus kerentanan,5301,Kupang,Nusa Tenggara Timur,51.216835459469756,10,True
Fokus kerentanan,5302,Timor Tengah Selatan,Nusa Tenggara Timur,62.18977284633995,3,True
Fokus kerentanan,5303,Timor Tengah Utara,Nusa Tenggara Timur,55.97956354785022,5,True
Fokus kerentanan,5304,Belu,Nusa Tenggara Timur,45.564828112684836,21,False
Fokus kerentanan,5305,Alor,Nusa Tenggara Timur,47.694329245338594,17,False
Fokus kerentanan,5306,Flores Timur,Nusa Tenggara Timur,35.90428587224378,77,False
Fokus kerentanan,5307,Sikka,Nusa Tenggara Timur,33.10473478803613,93,False
Fokus kerentanan,5308,Ende,Nusa Tenggara Timur,43.60155082138382,31,False
Fokus kerentanan,5309,Ngada,Nusa Tenggara Timur,36.33146091852194,72,False
Fokus kerentanan,5310,Manggarai,Nusa Tenggara Timur,46.685270860635825,18,False
Fokus kerentanan,5311,Sumba Timur,Nusa Tenggara Timur,46.001174704386855,20,False
